Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C29H50S,373.1113,C21H25S3,0,10,3665699,JH
C29H50S,,C21H25S3,0,10,,JH
C29H50S,373.2018,C23H33S2,0,8,2381603,JH
C29H50S,,C23H33S2,0,8,,JH
C29H50S,387.1269,C22H27S3,0.1,10,2473686,JH
C29H50S,,C22H27S3,0.1,10,,JH
C29H50S,387.2175,C24H35S2,-0.1,8,2137814,JH
C29H50S,,C24H35S2,-0.1,8,,JH
C29H50S,387.308,C26H43S,-0.1,6,2911957,JH
C29H50S,,C26H43S,-0.1,6,,JH
C29H50S,401.2331,C25H37S2,0,8,2772628,JH
C29H50S,,C25H37S2,0,8,,JH
C29H50S,401.3237,C27H45S,-0.1,6,2346644,JH
C29H50S,,C27H45S,-0.1,6,,JH
C29H50S,415.2488,C26H39S2,-0.1,8,3784295,JH
C29H50S,,C26H39S2,-0.1,8,,JH
C29H50S,415.3393,C28H47S,-0.1,6,12926566,JH
C29H50S,,C28H47S,-0.1,6,,JH
C29H50S,430.1817,C25H34S3,0,9.5,10518101,JH
C29H50S,,C25H34S3,0,9.5,,JH
C29H50S,430.2723,C27H42S2,0,7.5,21462614,JH
C29H50S,,C27H42S2,0,7.5,,JH
C29H50S,430.3628,C29H50S,-0.1,5.5,18005590,JH
C29H50S,,C29H50S,-0.1,5.5,,JH
C30H52S,319.0643,C17H19S3,0,9,2148220,JH
C30H52S,,C17H19S3,0,9,,JH
C30H52S,359.1862,C22H31S2,-0.1,8,3964687,JH
C30H52S,,C22H31S2,-0.1,8,,JH
C30H52S,359.2767,C24H39S,-0.1,6,2674447,JH
C30H52S,,C24H39S,-0.1,6,,JH
C30H52S,373.2018,C23H33S2,0,8,2725666,JH
C30H52S,,C23H33S2,0,8,,JH
C30H52S,373.2924,C25H41S,-0.1,6,4947746,JH
C30H52S,,C25H41S,-0.1,6,,JH
C30H52S,387.127,C22H27S3,0,10,3190620,JH
C30H52S,,C22H27S3,0,10,,JH
C30H52S,387.2175,C24H35S2,-0.1,8,2119517,JH
C30H52S,,C24H35S2,-0.1,8,,JH
C30H52S,401.1426,C23H29S3,0,10,2555828,JH
C30H52S,,C23H29S3,0,10,,JH
C30H52S,401.2332,C25H37S2,-0.1,8,3174324,JH
C30H52S,,C25H37S2,-0.1,8,,JH
C30H52S,401.3237,C27H45S,-0.1,6,2037685,JH
C30H52S,,C27H45S,-0.1,6,,JH
C30H52S,415.2488,C26H39S2,0,8,2576406,JH
C30H52S,,C26H39S2,0,8,,JH
C30H52S,415.3393,C28H47S,-0.1,6,2160663,JH
C30H52S,,C28H47S,-0.1,6,,JH
C30H52S,429.2644,C27H41S2,-0.1,8,3674225,JH
C30H52S,,C27H41S2,-0.1,8,,JH
C30H52S,429.355,C29H49S,-0.1,6,19038322,JH
C30H52S,,C29H49S,-0.1,6,,JH
C30H52S,444.194,C29H32S2,-0.1,14.5,2023607,JH
C30H52S,,C29H32S2,-0.1,14.5,,JH
C30H52S,444.1974,C26H36S3,-0.1,9.5,9912503,JH
C30H52S,,C26H36S3,-0.1,9.5,,JH
C30H52S,444.2879,C28H44S2,-0.1,7.5,21004472,JH
C30H52S,,C28H44S2,-0.1,7.5,,JH
C30H52S,444.3785,C30H52S,-0.1,5.5,14319800,JH
C30H52S,,C30H52S,-0.1,5.5,,JH
C56H92S2,369.3516,C27H45,0,6,5225795,RP
C56H92S2,,C27H45,0,6,,RP
C56H92S2,383.3673,C28H47,-0.1,6,2649457,RP
C56H92S2,,C28H47,-0.1,6,,RP
C56H92S2,429.3549,C29H49S,0,6,2174842,RP
C56H92S2,,C29H49S,0,6,,RP
C56H92S2,743.5618,C50H79S2,-0.1,12,39059200,RP
C56H92S2,,C50H79S2,-0.1,12,,RP
C56H92S2,757.5775,C51H81S2,-0.1,12,23625634,RP
C56H92S2,,C51H81S2,-0.1,12,,RP
C56H92S2,771.593,C52H83S2,0,12,4096081,RP
C56H92S2,,C52H83S2,0,12,,RP
C56H92S2,795.5965,C51H87S3,-0.1,9,2711885,RP
C56H92S2,,C51H87S3,-0.1,9,,RP
C56H92S2,795.6872,C53H95S2,-0.3,7,2912590,RP
C56H92S2,,C53H95S2,-0.3,7,,RP
C56H92S2,813.6401,C55H89S2,-0.1,12,5579154,RP
C56H92S2,,C55H89S2,-0.1,12,,RP
C56H92S2,828.4824,C52H76S4,0,15.5,16548168,RP
C56H92S2,,C52H76S4,0,15.5,,RP
C56H92S2,828.5729,C54H84S3,0.1,13.5,13664584,RP
C56H92S2,,C54H84S3,0.1,13.5,,RP
C56H92S2,828.5766,C51H88S4,-0.3,8.5,5292360,RP
C56H92S2,,C51H88S4,-0.3,8.5,,RP
C56H92S2,828.6634,C56H92S2,0.1,11.5,19235142,RP
C56H92S2,,C56H92S2,0.1,11.5,,RP
C57H94S2,341.2298,C23H33S,0,8,2129750,RP
C57H94S2,,C23H33S,0,8,,RP
C57H94S2,383.3672,C28H47,0,6,3813187,RP
C57H94S2,,C28H47,0,6,,RP
C57H94S2,397.3829,C29H49,0,6,4304739,RP
C57H94S2,,C29H49,0,6,,RP
C57H94S2,707.5651,C44H83S3,0,4,2702997,RP
C57H94S2,,C44H83S3,0,4,,RP
C57H94S2,757.5775,C51H81S2,-0.1,12,26869752,RP
C57H94S2,,C51H81S2,-0.1,12,,RP
C57H94S2,771.5931,C52H83S2,0,12,26869846,RP
C57H94S2,,C52H83S2,0,12,,RP
C57H94S2,809.6121,C52H89S3,0,9,2605157,RP
C57H94S2,,C52H89S3,0,9,,RP
C57H94S2,827.6558,C56H91S2,-0.1,12,4980635,RP
C57H94S2,,C56H91S2,-0.1,12,,RP
C57H94S2,842.4981,C53H78S4,0,15.5,21757572,RP
C57H94S2,,C53H78S4,0,15.5,,RP
C57H94S2,842.5886,C55H86S3,0.1,13.5,13139586,RP
C57H94S2,,C55H86S3,0.1,13.5,,RP
C57H94S2,842.5924,C52H90S4,-0.5,8.5,4324995,RP
C57H94S2,,C52H90S4,-0.5,8.5,,RP
C57H94S2,842.6791,C57H94S2,0,11.5,15629953,RP
C57H94S2,,C57H94S2,0,11.5,,RP
